firm_id,X1,X2,X3,X4,X5
1,9.26,0.78,1.37,0.23,1.45
2,9.38,0.75,1.49,0.39,1.30
3,12.11,0.68,1.44,0.43,1.37
4,10.81,0.70,1.42,0.18,1.65
5,9.35,0.62,1.35,0.15,1.91
6,9.87,0.76,1.39,0.34,1.68
8,9.12,0.71,1.27,0.09,1.89
12,5.49,0.74,1.10,0.05,1.02
14,6.61,0.72,1.23,0.48,0.88
15,4.32,0.68,1.39,0.41,0.62
16,7.37,0.77,1.38,0.62,1.09
21,6.64,0.77,1.35,0.50,1.32
23,5.52,0.72,1.48,1.20,0.68
24,9.37,0.79,1.24,0.21,2.30
27,5.68,0.71,1.28,0.66,1.43
28,5.22,0.79,1.33,0.74,1.82
29,10.02,0.76,1.22,0.32,2.62
41,6.70,0.79,0.79,0.39,1.24
43,9.42,0.70,0.70,0.72,2.03
